,date,tital,user,dislike,like,rating,page_index
77,posted on 02 Aug 2020,Team Leader  in Pune, Anonymous · Finance Division    ,"Dislikes Unfair payroll policy.
Too much of favoritism and nepotism in appraisals, onsite opportunities and promotions.
Performance is not considered for anything.
HR does not take corrective action when injustice is done to an associate by his lead or manager.
In many verticals unfit people are given higher roles and they make life of really talented people miserable.
RMG team behavior is very rude and unprofessional to associates.
Salary very less compared to other companies.
No respect for senior associates aspiring for a technical career path. ...Read More","Likes Job security is the best part of TCS, even company is taking care of the associates who are on bench during this critical time, where people are loosing their jobs in other organisations.",5.0,18
78,posted on 01 Aug 2020,Business Process Lead  in Kolkata, Anonymous · BPS Division    ,Dislikes Payscale.,"Likes Job security,  work life balance.",5.0,18
79,posted on 15 Jul 2020,Ita  in Chennai, Anonymous · Retail Division    ,,"Likes The company is open to innovation and readily adopts latest technology, I love the fact that I am a part of a team that markets reliable, high-quality products and has a global client base.
1> job security is 100% , 
2> work culture is so nice for all depend on location and project , 
3> Management is also now so fast , 
4> at-last policies are good especially health policy .",5.0,19
80,posted on 24 Jul 2020,Business Process Lead  in Vikhroli Mumbai, Anonymous · Revenue Accounting Division    ,"Dislikes Politics and long working hours. Because of long working hours, it's difficult to balance work and personal life. ",Likes TCS name itself is a brand. Working in a brand company is proud thing.,5.0,19
81,posted on 18 Jun 2020,Assistant System Engineer Trainee  in Bangalore, Anonymous · Insurance Division    ,Dislikes I dislike the politics in TCS and poor compensation that TCS provides.,"Likes I likes the job security, work life balance and company culture and learning opportunities in TCS. TCS is providing the food facility if an associate stuck in a PG without food. 

TCS has introduced Secure Boarderless workspace to work from home in this difficult times.",5.0,19
82,posted on 01 Aug 2020,Business Analyst  in Mumbai, Anonymous · BPS Division    ,Dislikes the promotion mafia which goes on in the company ,Likes They didn't cut out salary ,4.0,19
83,posted on 20 Jul 2020,Sql Database Administrator  in Chennai, Anonymous · Banking Division    ,Dislikes No support from project. Employee health is not important,"Likes Even covid-19 pandemic, they expect me to report office in my project. I refused to come, so past 3month I was in LOP. and finally they expect me to resign the job",4.0,19
84,posted on 14 May 2020,Information Process Enabler for 1.3 years in BANGALORE, Anonymous · Current Employee · Finance Division    ,"Dislikes Job security is terrible, I have been working very hard for last one year recently my Mangers  supervisor and my HR threatened me to resign from the company or else they will terminate me it seems, but I never agreed for that still the problem is not yet resolved.If someone out there who can help me please it's my humble request I need someone's help am in very difficult situation.My TL intentionally given me very low rating and they are planning to throw me out of TCS , am so depressed and stressed because of their behaviour. Requesting someone whoever sees this message please help me. NO JOB SECURITY IN TCS, wishing to be a happy and proud TCSer ....Read More","Likes Happy and proud to be a TCSer, but requesting you to please provide cab facilities to every location.Am working in Bangalore and location of my work place is SJM towers safety is very poor in the area.Hoping for BAU with the help of cab facilities in my location.",4.0,19
85,posted on 30 Jul 2020,"Senior Trainer, South Region  in Banglore", Anonymous · Csr Division    ,Dislikes Nothing. Everything is good,Likes Best thing is that they are giving opportunities to work in many ways. Learning new things is initiated..,5.0,19
86,posted on 21 May 2020,Graduate Engineer Trainee  in New Delhi, Anonymous · Internal IT Division    ,"Dislikes Things I dislike about about working here, is I don't like my project at all. They just force you to take the projects they have, they never ask about what you want to do. There salary package for Freshers makes me feel like I am an intern an not at all an employee. I am working even then I need to ask for money from my parents, this is what I hate the most. They don't even provide any transport.","Likes When I got the offer letter it was exciting to join TCS as a fresher. I have learnt a lot here, which I don't expect i could have ever learnt, on my own or any other way. During this lockdown situation they are very helpful providing us with all the possible facilities like, taking our desktops home. Providing us with the internet charges. ",3.0,19
87,posted on 01 Aug 2020,Associate  in Pune, Anonymous · Bpo Division    ,Dislikes Not yet,Likes Feeling very happy being a part of TATA group,5.0,19
88,posted on 18 Jul 2020,It Analyst  in Pune, Anonymous · Infrastructure Management Services Division    ,"Dislikes Rather than hiring new employees, company should concentrate on providing annual hikes to the present employees who without fail are working through day and night to get the job done.","Likes Like: Work-Life balance.
Covid 19 Support: Provided with company desktop to be able to work from home. Weekly calls from the HR team asking about health, both physical and mental.",3.0,19
